,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage,v3FA-lin-fixed-NN,v2FA-lin-fixed-LR,v2FA-fixed-LS
0,0.0185216227187793,0.013329612948592,0.0133227431517779,0.0133548538551138,0.0124018409752097,0.0154856365062967,,0.013528612895203195,0.0133296148194366,0.0135286143686289,0.0146760150285251,0.017260390388708,0.0154856345584005,0.0169602673132275,0.0143713534076246,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0,0.0,0.015706500764462204,0.013329614096719854,0.013329614096719854
0,0.0185216227187793,0.013329612948592,0.0133227431517779,0.0133548538551138,0.0124018409752097,0.0154856365062967,,0.013528612895203195,0.0133296148194366,0.0135286143686289,0.0146760150285251,0.017260390388708,0.0154856345584005,0.0169602673132275,0.0143713534076246,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,1,0.0,0.015706500764462204,0.013329614096719854,0.013329614096719854
0,0.0185216227187793,0.013329612948592,0.0133227431517779,0.0133548538551138,0.0124018409752097,0.0154856365062967,,0.013528612895203195,0.0133296148194366,0.0135286143686289,0.0146760150285251,0.017260390388708,0.0154856345584005,0.0169602673132275,0.0143713534076246,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,2,0.0,0.015706500764462204,0.013329614096719854,0.013329614096719854
0,0.0185216227187793,0.013329612948592,0.0133227431517779,0.0133548538551138,0.0124018409752097,0.0154856365062967,,0.013528612895203195,0.0133296148194366,0.0135286143686289,0.0146760150285251,0.017260390388708,0.0154856345584005,0.0169602673132275,0.0143713534076246,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,3,0.0,0.015706500764462204,0.013329614096719854,0.013329614096719854
0,0.0185216227187793,0.013329612948592,0.0133227431517779,0.0133548538551138,0.0124018409752097,0.0154856365062967,,0.013528612895203195,0.0133296148194366,0.0135286143686289,0.0146760150285251,0.017260390388708,0.0154856345584005,0.0169602673132275,0.0143713534076246,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,0.013329612948592,4,0.0,0.015706500764462204,0.013329614096719854,0.013329614096719854
0,0.0190368312642354,0.0139558627872106,0.0139267817740256,0.0139767326652551,0.0130212796865442,0.0160522772682082,,0.018488565355188637,0.0153782204955502,0.0140411925725246,0.0166604752576008,0.0190950651893487,0.0161409188081225,0.0176264842541626,0.018545570244822,0.0188244627942392,0.0138435340210026,0.013651611751845,0.0136583712433274,0.0136416426597438,0,0.001,0.017550801970990695,0.015579179061053706,0.019420452739262812
0,0.0193217487749627,0.0142126549189754,0.0141722513355771,0.0142316419156394,0.0133213532044103,0.0162643739820012,,0.01749521225838181,0.0159716011996367,0.0143549853737728,0.017885544287923,0.0194074644977668,0.0163033231713322,0.0178307194535668,0.0191018782230819,0.0188645875714742,0.0140830378434415,0.0137469408685039,0.0137475982173624,0.0137263372369793,1,0.001,0.017607742945807515,0.015828599802419626,0.017835975235721155
0,0.0194694094842896,0.0142851023842409,0.0142497458657421,0.0143034736276373,0.0134161798401575,0.0163552538504366,,0.017946041525489256,0.015271258370301,0.0141869557734408,0.0175505459848096,0.018692601297598,0.0161602511896744,0.0175379043691537,0.0178424131004503,0.0167699915290971,0.0140027987664992,0.0137169984824844,0.0137071960374973,0.0136736684306525,2,0.001,0.017709774937770185,0.015601068271170108,0.018657324631823822
0,0.0189423550195088,0.0138267835105864,0.0137903596541727,0.0138461934359165,0.0129135803983001,0.0159443584896277,,0.01774253042423387,0.0152366250999833,0.0142452857672703,0.0171415823736822,0.0187417577733757,0.0162628303010123,0.0176483706161068,0.0175711790528954,0.0188177459238435,0.0141072491589399,0.0137129249874885,0.0137129249874885,0.013677283693507,3,0.001,0.017635170039603593,0.015328475802721769,0.01777209836649804
0,0.0215329874434331,0.0161741387268954,0.0161058240005911,0.0161847148017859,0.0154317268990395,0.0180077218990011,,0.018906174246893694,0.015610072124219,0.0143024422537043,0.0188289479805547,0.019138004502988,0.0162390563284338,0.0176781644918649,0.0188624309934603,0.0183071443687826,0.0143537988419608,0.0137988926208632,0.0137777076577979,0.0137598533924813,4,0.001,0.017732881413586334,0.015399519453515951,0.01922268110708359
0,0.0229481742856816,0.017771751694655,0.0176023935263862,0.0177614280281569,0.0170982803250875,0.0196275371280783,,0.03189996591343376,0.0216845438261656,0.0159929324746361,0.0241122267232386,0.0248527108056703,0.0182240003718247,0.0198283554478403,0.0287014431796394,0.0340262320611618,0.0177319631720629,0.015047594046657,0.0149043955682307,0.014854060324459,0,0.005,0.024945082031886386,0.023979862437450674,0.033562244545631156
0,0.0229011308462745,0.0179385985363631,0.0177348538906048,0.0179225330973332,0.0171851834725779,0.019618293517071,,0.03353338123876167,0.0216255480220383,0.0165145934958618,0.0261212265729448,0.0252036217941113,0.0185219310162588,0.0198553772990387,0.0302222397942667,0.0364095608270028,0.0175081181601525,0.0151694434284635,0.0150347702325337,0.014927113845885,1,0.005,0.02441891156103385,0.02470742898333016,0.036008711697861705
0,0.0233010814558414,0.0183740849632548,0.018182624752777,0.0183621161328167,0.0176161401158025,0.0202862273589077,,0.03285814195988728,0.0221068836935738,0.0164902943013443,0.0255820446760928,0.0254297155107967,0.0184848822875279,0.0200033000077922,0.0309622384456729,0.0360744488845996,0.0183583794542103,0.0153323688141098,0.014996630729163,0.0149090834085057,2,0.005,0.025241042764317493,0.024146481881112077,0.0359411535925624
0,0.0224788678817923,0.017479982783751,0.0173057173133554,0.0174723661953813,0.0166726608555228,0.0193239846152321,,0.030054342647690694,0.0218942652285024,0.0166448667922533,0.0247680018682798,0.0253409810539701,0.0186795624801151,0.0199438828743773,0.0297515373689329,0.0367927209848081,0.0184574509267633,0.01526471273212,0.015188682644292,0.0150489718498976,3,0.005,0.023283313096504842,0.022550371246196157,0.03122173254362539
0,0.0241772359893311,0.0189808979634602,0.0188121785339325,0.018968723935974,0.0183079266151766,0.0207246649244019,,0.033011780477139104,0.0214173518747715,0.0163621837613341,0.0248258625388272,0.0252356935559757,0.0184796548654678,0.020058833303356,0.0292168941087151,0.0354079538912697,0.0173382633830807,0.0151839205450787,0.0151390362648808,0.0150673255872411,4,0.005,0.024666317817506445,0.023727760785468014,0.0346646439655323
0,0.0271155836559112,0.0227120623043429,0.0224176820022158,0.0226744568598339,0.0219718219446794,0.0241929958384906,,,0.0277289056042642,0.0184541892058935,0.0315716466283462,0.0307570203930456,0.0203846638306095,0.0218615212905881,0.0409440747069774,0.0495862653578923,0.0207226868547326,0.0167783696988379,0.0163376213421211,0.0162247155349661,0,0.01,,,
0,0.0275591831998174,0.0227985015768893,0.0224855509233719,0.022759361135562,0.0222592406904464,0.0245466942656853,,,0.0281262109091941,0.0181214473022235,0.0323225927303348,0.0326468117360168,0.0205449315679088,0.0218262893356674,0.0399984003019622,0.0486969466690427,0.0203442773304538,0.0166676521963271,0.0163114810109,0.0161408060271619,1,0.01,,,
0,0.0300209250706807,0.0246093086637185,0.0243019544565242,0.0245670314648878,0.0243264645685282,0.0260071797617829,,,0.0279504826182492,0.0181610164326251,0.0313569516739877,0.0311398400979739,0.0203598968847901,0.0217000273996657,0.0403113681635662,0.0491450094848357,0.0203413915145595,0.0169377592287775,0.016356762356163,0.0162053942596187,2,0.01,,,
0,0.0260531388921336,0.0214068605002137,0.0211061098425903,0.0213727402370141,0.0206568017288597,0.0230224013971102,,,0.0283556617546314,0.0186347955538077,0.0322488776287131,0.0321579230539481,0.0208386665455476,0.0218301707681507,0.0404302438823518,0.0517665296593542,0.0213043653799464,0.0169507208581123,0.0165275653397169,0.0162647543605544,3,0.01,,,
0,0.0279672213839369,0.0230266369405337,0.0226920358487956,0.0229846371535658,0.0224663896127464,0.0247584212750321,,,0.0281399615095672,0.0187306050101567,0.0320654639882151,0.0330270938705271,0.0208538698476402,0.0217611578268906,0.0403805199582086,0.0522602490387884,0.0213379095615599,0.016952390120164,0.0164743389795254,0.0162324623001928,4,0.01,,,
0,0.0458108146593312,0.0420310190735381,0.0412034486143785,0.0418750299826633,0.0421531381671418,0.0428107635009696,,,0.0466760811104671,0.0268958851713859,0.0466192754010978,0.0543579936501944,0.0285525785235982,0.0304692510213291,0.0538465049284542,0.093357990695163,0.0438115766742477,0.029336807455339,0.0234503505376679,0.023042807417207,0,0.05,,,
0,0.048398512693332,0.044774625603557,0.0439457396816161,0.0446139119481766,0.0450681833057907,0.0452832391907679,,,0.0482702804475577,0.0279398397008423,0.0492769279618377,0.0558352295148431,0.0297145566656589,0.0319183487470999,0.0559248860468634,0.0953432563325514,0.0462352890680832,0.0312318617451382,0.0245236047052576,0.0238982322694086,1,0.05,,,
0,0.0490573679482848,0.0450460666516069,0.0442047981914157,0.0448800991002123,0.0454660640251862,0.0452325011213292,,,0.0478212631819095,0.0271704457618893,0.0485453226008274,0.0550562386319353,0.0288970186894163,0.0309748352420303,0.0564217852929106,0.0953356758729195,0.0450427975834426,0.0300902526332486,0.0243123339558255,0.0239060527546445,2,0.05,,,
0,0.0494595165306734,0.0452283591002124,0.0443714682210617,0.045060839457897,0.0456300575173586,0.0458593957618174,,,0.0473916184084154,0.0264867230357461,0.0480994759964981,0.0555194625476025,0.0284150336178196,0.0307385704650576,0.0552301087761243,0.09397900330712,0.0439142992295378,0.0285957068382895,0.0237000974791781,0.0232594097747193,3,0.05,,,
0,0.0425076738183874,0.0394757938752312,0.0386594863760278,0.0393271499531907,0.0393499353840122,0.0398913364330995,,,0.0466419099941979,0.0269022064853394,0.0471076450801302,0.054091084003402,0.0286370380365962,0.0300558557526623,0.0545385965369157,0.092638841428186,0.0425674747443198,0.028593258940642,0.0234539562661229,0.0231003124692032,4,0.05,,,
0,0.0609656432232367,0.0579302600715956,0.0568293613051131,0.0576943435143846,0.0590205593563037,0.0572508073904167,,,0.0559047680712848,0.0359457717806491,0.0570395548430946,0.0632240921022727,0.0361427213045338,0.0425266898480006,0.0596173700387207,0.1142115347694151,0.0664633912918864,0.0449632458485069,0.031331540450409,0.0304881890954672,0,0.1,,,
0,0.0613158077752928,0.0581948332167139,0.0571162178376024,0.0579654365872662,0.0591612556005861,0.0577091877137569,,,0.0572186651009614,0.0360630501750631,0.0580802131441933,0.0648139206625817,0.0372971271336954,0.0428068448126488,0.0613169503395515,0.1139963143899284,0.0659568497879727,0.0444952211194946,0.0313552876643342,0.0305118479586674,1,0.1,,,
0,0.06331733265874,0.0601775925836349,0.0590761604836122,0.0599461780469827,0.0611565336729024,0.0601415515043521,,,0.0568512328039928,0.0361364648415763,0.0581709883286854,0.0648871255871426,0.0367066182044336,0.0421772812931913,0.0606587898719846,0.1147034172861226,0.067037210434869,0.0449450124029781,0.0318460292418,0.0309376821374047,2,0.1,,,
0,0.0653766965547366,0.0617459965506964,0.0606699638957233,0.0615150028922889,0.0629425976378533,0.0609500911600231,,,0.0584364487284645,0.0366169307197612,0.060432611052357,0.0658093023382465,0.0379103083610627,0.0436925871859114,0.0637772631916327,0.1154391880610605,0.068174323315636,0.0450820763898564,0.0322214743081961,0.0315107026200908,3,0.1,,,
0,0.0648275615218651,0.0610771834563937,0.0599738454840822,0.0608381842228032,0.0624691035259404,0.0605400201745625,,,0.0573980334094222,0.0355419862729885,0.057783440070077,0.0651742472040795,0.0360574492430385,0.0414679469769915,0.0615710189302151,0.1153324990281988,0.0673232584049323,0.0437680213224459,0.031750049718211,0.0311123925623124,4,0.1,,,
